playlist,track_id,year
Replay 2018,2867,2018
Replay 2018,1740,2018
Replay 2018,2865,2018
Replay 2018,3361,2018
Replay 2018,1720,2018
Replay 2018,1382,2018
Replay 2018,10477,2018
Replay 2018,1344,2018
Replay 2018,2943,2018
Replay 2018,3401,2018
Replay 2018,3357,2018
Replay 2018,10483,2018
Replay 2018,3399,2018
Replay 2018,10473,2018
Replay 2018,10475,2018
Replay 2018,2919,2018
Replay 2018,10461,2018
Replay 2018,10471,2018
Replay 2018,10401,2018
Replay 2018,2903,2018
Replay 2018,4883,2018
Replay 2018,10467,2018
Replay 2018,10409,2018
Replay 2018,10451,2018
Replay 2018,10427,2018
Replay 2018,4875,2018
Replay 2018,10413,2018
Replay 2018,4059,2018
Replay 2018,10479,2018
Replay 2018,1450,2018
Replay 2018,10439,2018
Replay 2018,10435,2018
Replay 2018,10429,2018
Replay 2018,10463,2018
Replay 2018,10415,2018
Replay 2018,10449,2018
Replay 2018,10403,2018
Replay 2018,10465,2018
Replay 2018,10411,2018
Replay 2018,3163,2018
Replay 2018,1730,2018
Replay 2018,1822,2018
Replay 2018,3157,2018
Replay 2018,10481,2018
Replay 2018,10421,2018
Replay 2018,10423,2018
Replay 2018,10437,2018
Replay 2018,10455,2018
Replay 2018,10431,2018
Replay 2018,10425,2018
Replay 2018,1860,2018
Replay 2018,10445,2018
Replay 2018,3311,2018
Replay 2018,3309,2018
Replay 2018,1662,2018
Replay 2018,10453,2018
Replay 2018,10417,2018
Replay 2018,3317,2018
Replay 2018,1894,2018
Replay 2018,1754,2018
Replay 2018,3303,2018
Replay 2018,3307,2018
Replay 2018,1742,2018
Replay 2018,10447,2018
Replay 2018,1684,2018
Replay 2018,3141,2018
Replay 2018,4871,2018
Replay 2018,10459,2018
Replay 2018,10419,2018
Replay 2018,4165,2018
Replay 2018,10443,2018
Replay 2018,3585,2018
Replay 2018,3265,2018
Replay 2018,2271,2018
Replay 2018,1350,2018
Replay 2018,10469,2018
Replay 2018,3091,2018
Replay 2018,3319,2018
Replay 2018,3305,2018
Replay 2018,3075,2018
Replay 2018,3313,2018
Replay 2018,1652,2018
Replay 2018,3911,2018
Replay 2018,10407,2018
Replay 2018,1864,2018
Replay 2018,1688,2018
Replay 2018,3261,2018
Replay 2018,3375,2018
Replay 2018,2120,2018
Replay 2018,10405,2018
Replay 2018,10433,2018
Replay 2018,10441,2018
Replay 2018,3133,2018
Replay 2018,10457,2018
Replay 2018,1704,2018
Replay 2018,5105,2018
Replay 2018,5109,2018
Replay 2019,3441,2019
Replay 2019,3439,2019
Replay 2019,3445,2019
Replay 2019,3437,2019
Replay 2019,3435,2019
Replay 2019,3451,2019
Replay 2019,3443,2019
