,apple_id,spotify_id,artist,title,popularity
147,1860,7oolFzHipTMg2nL7shhdz2,Ed Sheeran,Eraser,57
148,1894,51ChrwmUPDJvedPQnIU8Ls,Ed Sheeran,Dive,73
149,5117,04YRSuoGZcAj9kj57c6utu,millkzy,RUSSIAN ROULETTE(I ADORE U),69
150,3141,2RttW7RAu5nOAfq6YFvApB,Ed Sheeran,Happier,76
151,1662,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,89
152,1754,6PJ8FF6UR8FZXfEvpHkIVN,Ed Sheeran,How Would You Feel (Paean),65
153,3305,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,Castle on the Hill,80
154,1652,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,89
155,1742,5HDPtsnyb3maFmPL8LLUTG,Ed Sheeran,New Man,61
156,3301,1IgePMOW0qEe1AViWgkal9,SZA,Pretty Little Birds (feat. Isaiah Rashad),68
157,3303,6TIU9Ehmi6dMzZK73Ym4yj,Ed Sheeran,Save Myself,59
158,3321,5wTVNpi5WDByxBgKgUE6MU,SZA,Supermodel,71
159,3349,19woxaSpjOefa2JnAOoqW5,SZA,Garden (Say It Like Dat),70
160,3339,593W4qZOwwdqF6YnimJjL6,SZA,Doves In The Wind (feat. Kendrick Lamar),73
161,3319,35QZaWQRkmnAVqBF1TLCxQ,Ed Sheeran,Nancy Mulligan,68
162,3345,6gU9OKjOE7ghfEd55oRO57,SZA,The Weekend,77
163,3337,0q75NwOoFiARAVp4EXU4Bs,SZA,Love Galore (feat. Travis Scott),80
164,3315,3Lfiu5sZ4M4B6JaKMBc0FU,Ed Sheeran,Barcelona,62
165,3075,1f1wT6Q7Buxb3OD0BqMW8O,Ed Sheeran,I See Fire,70
166,3343,5yvhdo8FXbBsIllxv2Rr94,SZA,Prom,69
167,3307,0afhq8XCExXpqazXczTSve,Ed Sheeran,Galway Girl,81
168,3313,4VuS959DSpr82t3qBqCrWG,Ed Sheeran,Supermarket Flowers,74
169,3311,2pJZ1v8HezrAoZ0Fhzby92,Ed Sheeran,What Do I Know?,65
170,3309,2dfHh7ECGxfNqZTQno09Vk,Ed Sheeran,Hearts Don't Break Around Here,60
171,3361,0tV8pOpiNsKqUys0ilUcXz,Andra Day,Rise Up,75
172,3341,06u5LrUpbosQlQ1QJFhPpG,SZA,Drew Barrymore,75
173,3353,0336UwEBwBBao8uWCuugYr,SZA,Anything,60
174,5119,5J4ZkQpzMUFojo1CtAZYpn,Ariana Grande,Love Me Harder,82
175,3351,2fXwCWkh6YG5zU1IyvQrbs,SZA,Broken Clocks,83
176,3357,5fQBa4wkmq28xpSLOQ202K,SZA,Normal Girl,77
177,5101,1nueTG77MzNkJTKQ0ZdGzT,Maroon 5,Don't Wanna Know (feat. Kendrick Lamar),66
178,3317,6SznMYPQJHzr3IwsAHLId2,Ed Sheeran,Bibia Be Ye Ye,59
179,3355,3LcoHjgdNl4xtWVaJGSA1p,SZA,Wavy (Interlude) (feat. James Fauntleroy),58
180,2599,5mMoySkxdUWlTw6X2l4egi,Pentatonix,We Are Young,42
181,3363,5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Won't Let Go,85
182,3359,4h6ViRoztTBpWcJ1zFT9Zg,SZA,20 Something,72
183,3375,0N5zjRnf8AreOm95iSBXF4,Ed Sheeran,Even My Dad Does Sometimes,52
184,5109,0TFBANCgctg5hAt9ez2V2g,The Stylistics,You Are Everything,60
185,3365,2xsAm4w9P3kSF1DophKAiF,James Bay,Let It Go,67
186,3367,7awwmuGslmuyhnlpFipDqk,Ed Sheeran,Shirtsleeves,50
187,3371,1gHF0I223J5pv06SuBcmkz,Ed Sheeran,The Man,51
188,3395,6RUhbFEhrvGISaQ8u2j2JN,Ariana Grande,Dangerous Woman,72
189,5121,7gwLQ4tZ5UdZ7qNcDyJ8wr,Maroon 5,Cold (feat. Future),65
190,2787,1bukNCD9JEwNp235Ov0iZH,Pentatonix,Run to You,41
191,2028,1xu91y5jf13yxAssdfsbPt,Jazmine Sullivan,In Love With Another Man,56
192,3327,0pJfsPQesJyCnR5XWZyvj9,Ed Sheeran,This,50
193,5105,7uDUb37h7Xdhza1eWMkoJv,Chase Atlantic,Friends,85
194,3369,3GKSfF6c3Rv3a1knSjxnXa,Ed Sheeran,Nina,54
195,3323,4RnCPWlBsY7oUDdyruod7Y,Ed Sheeran,Drunk,62
196,3325,4z1O25cq9g2kuJemmUxc21,Ed Sheeran,Small Bump,59
197,1698,2VmA7bm5ECiYZfw7x4Nzku,Ed Sheeran,Runaway,55
198,3397,6wwrYruEgWlowPDZMq5116,Beyoncé,Blow,56
199,3399,7mKLeYLFcRT9ZZXioSohIT,Doja Cat,Nunchucks,42
200,3401,1yvSMyZn27M4wEslpSvB0D,Doja Cat,So High,73
201,3373,2dmOWlEHrP266Qgz6wnUrd,Ed Sheeran,Take It Back,51
202,5099,1nX9KhK3Fff27SnrIor2Yb,2 Chainz,4 AM,61
203,5103,1ljzHUgt2SU2ADkhfa9eBC,Janelle Monáe,Tightrope (feat. Big Boi) - Big Boi Vocal Edit,51
204,5111,49WNdS1zw5NjaqMNEARcWO,Ed Sheeran,Don't - Rick Ross Remix,41
205,5093,6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World,Say Something,71
206,3347,6Vmow8PuUaU7W1T2WWLZk2,SZA,Go Gina,63
207,5097,76yLBykniz0SSNv0jj17M2,The Weeknd,Starboy (feat. Daft Punk),56
208,5107,1SfXw4CSD8RllLWnVG6AaX,Aimee-Leigh,Misbehavin' (1989),46
209,5085,43cN7vrp1gSL1e0pdvVNxA,Melanie Fiona,Wrong Side Of A Love Song,39
210,2779,1k69KJ5AsFwkbK5MOOxLHx,Pentatonix,Save the World / Don't Worry Child,39
211,5113,52gvlDnre9craz9dKGObp8,Naughty Boy,La La La,77
212,5115,2VC0FEuziY41VF0i8bFp0o,Melanie Fiona,Gone And Never Coming Back,32
213,3403,6i0V12jOa3mr6uu4WYhUBr,Twenty One Pilots,Heathens,83
214,3405,58pnv11Ku9Gak5OeeREw9C,Doja Cat,Beautiful,40
215,5095,0nj9Bq5sHDiTxSHunhgkFb,Kendrick Lamar,squabble up,91
216,1608,1qT4WewpOkOepuHixR5KzA,St. Beauty,Borders,25
217,2327,4aGG4VOWGv9RwlYQNsBrkE,Rodney Atkins,Caught Up In The Country,69
218,1736,0VhpCosvpLVUT6RItmD0v6,St. Beauty,Lucid Dreams,26
219,2867,3MJ6lFNV12FSHAOzTzkwxz,Morgan Wallen,Smile,83
220,1740,4Fg2ugWkxIkXuMAhRsRU7y,St. Beauty,Stone Mountain,15
221,2865,1GAHIJ5a6AFbIW5yjrGdAz,St. Beauty,Not Discuss It,17
222,1720,1U0bhf79qQt8ozR25aXMtH,Emeli Sandé,"Read All About It, Pt. III",50
223,1382,2Dx0UA8OwEqrZbQIs0yKXv,Josh Ross,Red Flags,64
224,10477,36vjs14mqcOXQEZrFnK0Kp,2 Chainz,Spend It,42
225,1344,3jUDmvxw0ZyGAUmyqRikMj,Andra Day,Cheers to the Fall,31
226,2943,1oYYd2gnWZYrt89EBXdFiO,The Police,Message In A Bottle,78
227,10483,4FZOSDwALdWxcGcRbwXWJ8,Kali Uchis,Tyrant (feat. Jorja Smith),62
228,10473,4j3GWI86JvSaF0BLdmgcfF,Childish Gambino,Summertime Magic,61
229,10475,17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,91
230,2919,4iCZ6Cr76For1TuHUQ90r8,Morray,Quicksand,58
231,10461,21RCuMVSlblTmyYm2DnPCR,Demi Lovato,Tell Me You Love Me,61
232,10471,3JjY2L2bqql54j1SjnjQ23,Nelson,(Can't Live Without Your) Love And Affection - Remastered 2017,50
233,2903,300DUx4tdtCdGEUXR032jA,The Internet,"Palace/Curse (feat. Tyler, The Creator & Steve Lacy)",64
234,4883,79OKfIXCPbNhZa3h1ZREag,Jorja Smith,Where Did I Go?,55
235,10467,25GlFJq5QNAXyVgJvCZ4Mf,Anderson .Paak,Heart Don't Stand a Chance,57
236,10409,5Ha9IheRrkDyr7ZdhaRsWb,Steve Lacy,Ryd,68
237,10451,3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar,All The Stars (with SZA),95
